id,type
Ahmed Hayat Lak,CEO
Muhammad Jawaid Iqbal,CEO
Faheem Haider,CEO
Irfan Siddiqui,CEO
Jahangir Piracha,CEO
Sikandar Ali Memon,CEO
Nassir Salim,CEO
Rehmat Ali Hasnie,CEO
Muhammad Nauman Chughtai,CEO
Syed Ali Akbar,CEO
Zameer Mohammed Choudrey,CEO
Jason Avanceña,CEO
Zulfiqar Ali Lakhani,CEO
Fawad Ahmed Mukhtar,CEO
Ali Rathore,CEO
Abdul Samad Dawood,CEO
Kamran Kamal,CEO
Rehan Shaikh,CEO
Asif Peer,CEO
Aizid Razzaq Gill,CEO
Syed Muhammad Taha,CEO
Syed Moonis Abdullah Alvi,CEO
Hatem Bamatraf,CEO
Amir R. Paracha,CEO
Shuaib Anwar Malik,CEO
Atif Aslam Bajwa,CEO
Saquib H. Shirazi,CEO
Ali Asghar Jamali,CEO
Asad Rasool,CEO
Asif Jooma,CEO
Qamar Manzoor,CEO
Mr. Munsarim Saifullah,CEO
Yousaf Hussain,CEO
Zia Ijaz,CEO
Erum Shakir Rahim,CEO
Khurram Shahzad Khan,CEO
Syed Anis Ahmed,CEO
Zafar Masud,CEO
Qawi Naseer,CEO
Sayeed Tariq Saigol,CEO
Raza Mansha,CEO
Raheel Asghar,CEO
Navid Fazil,CEO
Syed Jarar Haider Kazmi,CEO
Nadeem Atta Sheikh,CEO
Mohammad Naeem Mukhtar,CEO
Humair Ijaz,CEO
Taufique Sayeed Saigol,CEO
Abrar Hasan,CEO
Amer Tufail,CEO
M. Adil Khattak,CEO
Muhammad Ejaz,CEO
Azam Faruque,CEO
Syed Hyder Ali,CEO
Kashan Hasan,CEO
Arif Saeed,CEO
Tahir Ahmed,CEO
Adeel Abbas Haider,CEO
Muhammad Kamran Nasir,CEO
Mian Umer Mansha,CEO
Usman Zaheer Ahmad,CEO
Jawad Majid Khan,CEO
Zain Ashraf Mukaty,CEO
Muhammad Murad Saigol,CEO
M. Habibullah Khan,CEO
Raheal Masud,CEO
Samir M. Chinoy,CEO
Muhammad Tayyab Ahmad Tareen,CEO
Basir Shamsie,CEO
Amir Abbassciy,CEO
Kamran Munir Ansari,CEO
Muhammad Faisal Muzammil,CEO
Rizwan Ata,CEO
Masaya Wakuda,CEO
Young Dae Kim,CEO
Zubair Shaikh,CEO
Hassan Raza,CEO
Hasnain Aslam,CEO
Babar Bashir Nawaz,CEO
Sajjad Iftikhar,CEO
Ahmad Kuli Khan Khattak,CEO
Muhammad Amin Rajput,CEO
Dr. Zeeshan Bin Ishtiaque,CEO
Asad Hasan,CEO
Farrukh Sabzwari,CEO
Muhtashim Ahmad Ashai,CEO
Nadeem Abdullah,CEO
Agha Humayun Khan (Deceased),CEO
Muhammad Ali Zeb,CEO
Shahab Qader Khan,CEO
Shahid Abdullah,CEO
Isphanyar M. Bhandara,CEO
Khurram Javaid,CEO
Samad A. Habib,CEO
Abdul Qayoom Shaikh,CEO
Sharique Azim Siddiqui,CEO
Akbar Akhtar Khan,CEO
Yousuf Mirza,CEO
Mohammed Zaki Bashir,CEO
Asad Nasir,CEO
Sakib Eltaff,CEO
Muhammad Kashif A. Habib,CEO
Kamran Arshad Inam,CEO
Zahid Mir,CEO
Zafar Mahmood,CEO
Muhammad Bilal Ahmed,CEO
Matin Amjad,CEO
Muhammad Farid Alam,CEO
Bakhtiar Hameed Wain,CEO
Rizwan Ahmad,CEO
Muhammad Adrees,CEO
Osman Khalid Waheed,CEO
Hassan Javed,CEO
Duraid Qureshi,CEO
Hafiz Farooq Ahmad,CEO
Asim Ghani,CEO
Naveed Godil,CEO
Asif Misbah,CEO
Javed Ahmed,CEO
Khawaja Khalil Shah,CEO
Azfar Arshad,CEO
Mohammed Ali Ahmed,CEO
Naved Yunus,CEO
