No.,Symbol,Company.Name,Ceo Name,Bachelor Institute,Masters Institute,Phd Insitute,Professional Qualifications
1,OGDC,Oil and Gas Development Company Limited,Ahmed Hayat Lak,University Of London,University Of Wolverhampton,Nan,Nan
2,UBL,United Bank Limited,Muhammad Jawaid Iqbal,Nan,Bahauddin Zakariya University,Nan,Cfa Institute
3,MARI,Mari Energies Limited,Faheem Haider,University Of Engineering And Technology,"Imperial College London, University Of Oxford",Nan,Nan
4,MEBL,Meezan Bank Limited,Irfan Siddiqui,Nan,Nan,Nan,Institute Of Chartered Accountants In England And Wales
5,FFC,Fauji Fertilizer Company Limited,Jahangir Piracha,University Of Engineering And Technology,Nan,Nan,Nan
7,PPL,Pakistan Petroleum Limited,Sikandar Ali Memon,Mehran University Of Engineering And Technology,Nan,Nan,Nan
8,HBL,Habib Bank Limited,Nassir Salim,Nan,Institute Of Business Administration Karachi,Nan,Nan
9,NBP,National Bank of Pakistan,"Rehmat Ali Hasnie
",College Of Wooster,American University,Nan,Nan
10,MCB,MCB Bank Limited,Muhammad Nauman Chughtai,Ned University Of Engineering And Technology,Lahore University Of Management Sciences,Nan,Cfa Institute
11,PAKT,Pakistan Tobacco Company Limited,Syed Ali Akbar,Quaid-I-Azam University,Nan,Nan,Nan
12,BWCL,Bestway Cement Limited,Zameer Mohammed Choudrey,University Of Kent,Nan,Nan,Institute Of Chartered Accountants In England And Wales
13,NESTLE,Nestlé Pakistan Limited,Jason Avanceña,De La Salle University,Gabelli School Of Business,Nan,Nan
14,COLG,Colgate-Palmolive (Pakistan) Limited,Zulfiqar Ali Lakhani,Stanford University,Wharton School Of The University Of Pennsylvania,Nan,Nan
15,FATIMA,Fatima Fertilizer Company Limited,Fawad Ahmed Mukhtar,University Of Pennsylvania,Nan,Nan,Nan
16,EFERT,Engro Fertilizers Limited,Ali Rathore,London Metropolitan University,Kellogg School Of Management,Nan,Institute Of Chartered Accountants In England And Wales
17,ENGROH,Engro Holding Limited,Abdul Samad Dawood,University College London,Nan,Nan,Nan
18,HUBC,The Hub Power Company Limited,Kamran Kamal,Georgia Institute Of Technology,Harvard University,Nan,Nan
19,SCBPL,Standard Chartered Bank (Pakistan) Limited,Rehan Shaikh,Upsala College,Nan,Nan,Nan
20,SYS,Systems Limited,Asif Peer,National University Of Computer And Emerging Sciences,Institute Of Business Administration Karachi,Nan,Nan
21,ABL,Allied Bank Limited,Aizid Razzaq Gill,University Of Engineering And Technology,California State University,Nan,Nan
23,PSO,Pakistan State Oil Company Limited,Syed Muhammad Taha,Nan,Institute Of Business Administration Karachi,Nan,Nan
24,KEL,K-Electric Limited,Syed Moonis Abdullah Alvi,Federal Government Cantt Public School,Nan,Nan,Nan
25,PTC,Pakistan Telecommunication Company Limited,Hatem Bamatraf,Etisalat University College,Insead,Nan,Nan
26,UPFL,Unilever Pakistan Foods Limited,Amir R. Paracha,Karachi University,Institute Of Business Administration Karachi,Nan,Nan
27,POL,Pakistan Oilfields Limited,Shuaib Anwar Malik,Punjab University,Nan,Nan,Nan
28,BAFL,Bank Alfalah Limited,Atif Aslam Bajwa,Columbia University,Nan,Nan,Nan
29,ATLH,Atlas Honda Limited,Saquib H. Shirazi,Wharton School Of The University Of Pennsylvania,Harvard University,Nan,Nan
30,INDU,Indus Motor Company Limited,Ali Asghar Jamali,Karachi University,Nan,Nan,Institute Of Chartered Accountants Of Pakistan
31,PIAHCLA,PIA Holding Company Limited,Asad Rasool,University Of Engineering And Technology,University Of New South Wales,Nan,Chartered Accountants Australia And New Zealand
33,LCI,Lucky Core Industries Limited,Asif Jooma,Boston University,Nan,Nan,Nan
34,FCCL,Fauji Cement Company Limited,Qamar Manzoor,Dawood University Of Engineering And Technology,University Of Tennessee,Nan,Nan
35,ISIL,Ismail Industries Limited,Mr. Munsarim Saifullah,Ned University Of Engineering And Technology,Nan,Nan,Nan
36,FABL,Faysal Bank Limited,Yousaf Hussain,University Of Engineering And Technology,Lahore University Of Management Sciences,Nan,Nan
37,AKBL,Askari Bank Limited,Zia Ijaz,Federal College Of Commerce,Nan,Nan,"American Institute Of Certified Public Accountants, Institute Of Chartered Accountants Of Pakistan"
38,GLAXO,GlaxoSmithKline Pakistan Limited,Erum Shakir Rahim,Karachi University,Karachi University,Nan,Nan
39,HMB,Habib Metropolitan Bank Limited,Khurram Shahzad Khan,University Of Engineering And Technology,University Of Rochester,Nan,Nan
40,ABOT,Abbott Laboratories (Pakistan) Limited,Syed Anis Ahmed,Nan,Nan,Nan,Institute Of Chartered Accountants Of Pakistan
41,BOP,The Bank of Punjab,Zafar Masud,Nan,Institute Of Business Administration Karachi,Nan,Nan
43,HALEON,Haleon Pakistan Limited,Qawi Naseer,Nan,Institute Of Business Administration Karachi,Nan,Nan
44,MLCF,Maple Leaf Cement Factory Limited,Sayeed Tariq Saigol,"Government College, Punjab University",Nan,Nan,Nan
45,DGKC,D.G. Khan Cement Company Limited,Raza Mansha,University Of Pennsylvania,Nan,Nan,Nan
46,MTL,Millat Tractors Limited,Raheel Asghar,University Of Cambridge,Nan,Nan,Nan
47,ILP,Interloop Limited,Navid Fazil,University Of Engineering And Technology,University Of Oxford,Nan,Nan
48,PNSC,Pakistan National Shipping Corporation,Syed Jarar Haider Kazmi,Nan,Nan,Nan,"Institute Of Chartered Accountants In England And Wales, Institute Of Chartered Accountants Of Pakistan"
49,KOHC,Kohat Cement Company Limited,Nadeem Atta Sheikh,Boston University,Nan,Nan,Nan
50,IBFL,Ibrahim Fibres Limited,Mohammad Naeem Mukhtar,Nan,Cardiff Business School,Nan,"Textile Institute, University Of Manchester"
51,RMPL,Rafhan Maize Products Co. Limited,Humair Ijaz,Virginia Polytechnic Institute And State University,Virginia Polytechnic Institute And State University,Nan,Nan
52,KTML,Kohinoor Textile Mills Limited,Taufique Sayeed Saigol,Cornell University,Nan,Nan,Nan
53,NATF,National Foods Limited,Abrar Hasan,Purdue University,Nan,Nan,Nan
54,SNGP,Sui Northern Gas Pipelines Limited,Amer Tufail,Government College,Nan,Nan,Institute Of Chartered Accountants Of Pakistan
55,ATRL,Attock Refinery Limited,M. Adil Khattak,Nan,Texas Tech University,Nan,Nan
56,DCR,Dolmen City REIT,Muhammad Ejaz,"Fast National University, National University Of Computer And Emerging Sciences",Institute Of Business Administration Karachi,Nan,Nan
57,APL,Attock Petroleum Limited,Shuaib Anwar Malik,Punjab University,Nan,Nan,Nan
58,CHCC,Cherat Cement Company Limited,Azam Faruque,Princeton University,University Of Chicago,Nan,Nan
