Source,Target,Weight
Muhtashim Ahmad Ashai,Yousaf Hussain,2
Jamal Nasir Khan,Syed Muhammad Daniyal,2
Syed Muhammad Daniyal,Yousuf Mirza,2
Kamran Arshad Inam,Syed Muhammad Daniyal,2
Azfar Arshad,Yousuf Mirza,2
Faheem Haider,Zain ul Haq Qureshi,2
Muhammad Ejaz,Shahid Ali Habib,2
Jamal Nasir Khan,Yousuf Mirza,2
Azfar Arshad,Syed Muhammad Daniyal,2
Faheem Haider,Navid Fazil,2
Khawaja Khalil Shah,Muhammad Bilal Ahmed,2
Shahab Qader Khan,Yousaf Hussain,2
Ghazanfar Baber Siddiqi,Hassan Raza,2
Amir R. Paracha,Syed Masood Abbas Jaffery,2
Ali Asghar Jamali,Javed Ahmedjee,2
Muhtashim Ahmad Ashai,Shahab Qader Khan,2
Azfar Arshad,Jamal Nasir Khan,2
Jamal Nasir Khan,Kamran Arshad Inam,2
Irfan Chawala,Khursheed Anwer Jamal,2
Kamran Arshad Inam,Yousuf Mirza,2
Azfar Arshad,Kamran Arshad Inam,2
Amer Tufail,Khursheed Anwer Jamal,2
Amer Tufail,Irfan Chawala,2
Muhammad Bilal Ahmed,Muhammad Nauman Chughtai,2
Muhammad Asif,Muhammad Mohtashim Aftab,2
Asif Peer,Muhammad Ejaz,2
Asif Peer,Shahid Ali Habib,2
Khawaja Khalil Shah,Muhammad Nauman Chughtai,2
Moin Ur Rehman,Muhammad Ehtisham Khan,1
Mahmood Akhtar,Sheraz Khan,1
Mohammed Yasin Fecto,Syed Ali Akbar,1
Masroor Ahmad Khan,Samera Irfan Shaikh,1
Masroor Ahmad Khan,Salim Ullah Ghauri,1
Masroor Ahmad Khan,Rizwan Ahmad,1
Masroor Ahmad Khan,Nazish Ali (Acting),1
Masroor Ahmad Khan,Naveed Riaz,1
Masroor Ahmad Khan,Muhammad Zahid,1
Masroor Ahmad Khan,Muhammad Mohtashim Aftab,1
Masroor Ahmad Khan,Muhammad Imran Malik,1
Moin Ur Rehman,Muhammad Aminuddin,1
Moin Ur Rehman,Muhammad Rizwan ul Haque,1
Masroor Ahmad Khan,Muhammad Asif,1
Moin Ur Rehman,Muhammad Ejaz,1
Masroor Ahmad Khan,Muhammad Akram Shahid,1
Masroor Ahmad Khan,Muhammad Adrees,1
Mahmood Akhtar,Usman Zaheer Ahmad,1
Mahmood Akhtar,Tayyab Aijaz,1
Mahmood Akhtar,Shuaib Anwar Malik,1
Masroor Ahmad Khan,Sayeed Tariq Saigol,1
Mohammed Ali Ahmed,Syed Jarar Haider Kazmi,1
Masroor Ahmad Khan,Sheraz Khan,1
Mohammed Ali Ahmed,Syed Anis Ahmed,1
Mohammed Ali Ahmed,Shaikh Muhammad Tanveer,1
Mohammed Ali Ahmed,Sajjad Iftikhar,1
