id,type,label
Ahmed Hayat Lak,CEO,Ahmed Hayat Lak
Muhammad Jawaid Iqbal,CEO,Muhammad Jawaid Iqbal
Faheem Haider,CEO,Faheem Haider
Irfan Siddiqui,CEO,Irfan Siddiqui
Jahangir Piracha,CEO,Jahangir Piracha
Nassir Salim,CEO,Nassir Salim
Rehmat Ali Hasnie,CEO,Rehmat Ali Hasnie
Muhammad Nauman Chughtai,CEO,Muhammad Nauman Chughtai
Syed Ali Akbar,CEO,Syed Ali Akbar
Zameer Mohammed Choudrey,CEO,Zameer Mohammed Choudrey
Zulfiqar Ali Lakhani,CEO,Zulfiqar Ali Lakhani
Fawad Ahmed Mukhtar,CEO,Fawad Ahmed Mukhtar
Ali Rathore,CEO,Ali Rathore
Kamran Kamal,CEO,Kamran Kamal
Asif Peer,CEO,Asif Peer
Aizid Razzaq Gill,CEO,Aizid Razzaq Gill
Syed Muhammad Taha,CEO,Syed Muhammad Taha
Hatem Bamatraf,CEO,Hatem Bamatraf
Amir R. Paracha,CEO,Amir R. Paracha
Shuaib Anwar Malik,CEO,Shuaib Anwar Malik
Atif Aslam Bajwa,CEO,Atif Aslam Bajwa
Saquib H. Shirazi,CEO,Saquib H. Shirazi
Ali Asghar Jamali,CEO,Ali Asghar Jamali
Asad Rasool,CEO,Asad Rasool
Asif Jooma,CEO,Asif Jooma
Qamar Manzoor,CEO,Qamar Manzoor
Mr. Munsarim Saifullah,CEO,Mr. Munsarim Saifullah
Yousaf Hussain,CEO,Yousaf Hussain
Zia Ijaz,CEO,Zia Ijaz
Erum Shakir Rahim,CEO,Erum Shakir Rahim
Khurram Shahzad Khan,CEO,Khurram Shahzad Khan
Syed Anis Ahmed,CEO,Syed Anis Ahmed
Zafar Masud,CEO,Zafar Masud
Qawi Naseer,CEO,Qawi Naseer
Sayeed Tariq Saigol,CEO,Sayeed Tariq Saigol
Raza Mansha,CEO,Raza Mansha
Raheel Asghar,CEO,Raheel Asghar
Navid Fazil,CEO,Navid Fazil
Syed Jarar Haider Kazmi,CEO,Syed Jarar Haider Kazmi
Nadeem Atta Sheikh,CEO,Nadeem Atta Sheikh
Mohammad Naeem Mukhtar,CEO,Mohammad Naeem Mukhtar
Abrar Hasan,CEO,Abrar Hasan
Amer Tufail,CEO,Amer Tufail
Muhammad Ejaz,CEO,Muhammad Ejaz
Azam Faruque,CEO,Azam Faruque
Kashan Hasan,CEO,Kashan Hasan
Arif Saeed,CEO,Arif Saeed
Muhammad Kamran Nasir,CEO,Muhammad Kamran Nasir
Mian Umer Mansha,CEO,Mian Umer Mansha
Usman Zaheer Ahmad,CEO,Usman Zaheer Ahmad
Jawad Majid Khan,CEO,Jawad Majid Khan
Zain Ashraf Mukaty,CEO,Zain Ashraf Mukaty
Muhammad Murad Saigol,CEO,Muhammad Murad Saigol
M. Habibullah Khan,CEO,M. Habibullah Khan
Raheal Masud,CEO,Raheal Masud
Samir M. Chinoy,CEO,Samir M. Chinoy
Muhammad Tayyab Ahmad Tareen,CEO,Muhammad Tayyab Ahmad Tareen
Basir Shamsie,CEO,Basir Shamsie
Kamran Munir Ansari,CEO,Kamran Munir Ansari
Muhammad Faisal Muzammil,CEO,Muhammad Faisal Muzammil
Rizwan Ata,CEO,Rizwan Ata
Zubair Shaikh,CEO,Zubair Shaikh
Hassan Raza,CEO,Hassan Raza
Hasnain Aslam,CEO,Hasnain Aslam
Babar Bashir Nawaz,CEO,Babar Bashir Nawaz
Sajjad Iftikhar,CEO,Sajjad Iftikhar
Muhammad Amin Rajput,CEO,Muhammad Amin Rajput
Asad Hasan,CEO,Asad Hasan
Farrukh Sabzwari,CEO,Farrukh Sabzwari
Muhtashim Ahmad Ashai,CEO,Muhtashim Ahmad Ashai
Agha Humayun Khan (Deceased),CEO,Agha Humayun Khan (Deceased)
Muhammad Ali Zeb,CEO,Muhammad Ali Zeb
Shahab Qader Khan,CEO,Shahab Qader Khan
Shahid Abdullah,CEO,Shahid Abdullah
Isphanyar M. Bhandara,CEO,Isphanyar M. Bhandara
Khurram Javaid,CEO,Khurram Javaid
Samad A. Habib,CEO,Samad A. Habib
Abdul Qayoom Shaikh,CEO,Abdul Qayoom Shaikh
Sharique Azim Siddiqui,CEO,Sharique Azim Siddiqui
Yousuf Mirza,CEO,Yousuf Mirza
Mohammed Zaki Bashir,CEO,Mohammed Zaki Bashir
Asad Nasir,CEO,Asad Nasir
Sakib Eltaff,CEO,Sakib Eltaff
Muhammad Kashif A. Habib,CEO,Muhammad Kashif A. Habib
Kamran Arshad Inam,CEO,Kamran Arshad Inam
Zahid Mir,CEO,Zahid Mir
Zafar Mahmood,CEO,Zafar Mahmood
Muhammad Bilal Ahmed,CEO,Muhammad Bilal Ahmed
Matin Amjad,CEO,Matin Amjad
Muhammad Farid Alam,CEO,Muhammad Farid Alam
Bakhtiar Hameed Wain,CEO,Bakhtiar Hameed Wain
Rizwan Ahmad,CEO,Rizwan Ahmad
Muhammad Adrees,CEO,Muhammad Adrees
Osman Khalid Waheed,CEO,Osman Khalid Waheed
Duraid Qureshi,CEO,Duraid Qureshi
Hafiz Farooq Ahmad,CEO,Hafiz Farooq Ahmad
Naveed Godil,CEO,Naveed Godil
Asif Misbah,CEO,Asif Misbah
Khawaja Khalil Shah,CEO,Khawaja Khalil Shah
Azfar Arshad,CEO,Azfar Arshad
Mohammed Ali Ahmed,CEO,Mohammed Ali Ahmed
Naved Yunus,CEO,Naved Yunus
Javed Ahmedjee,CEO,Javed Ahmedjee
Irfan Chawala,CEO,Irfan Chawala
Kamal Mahmood Amjad Mian,CEO,Kamal Mahmood Amjad Mian
Akhter Khalid Waheed,CEO,Akhter Khalid Waheed
Dr. Munir Ahmed,CEO,Dr. Munir Ahmed
Muhammad Zahid,CEO,Muhammad Zahid
Zia Hyder Naqi,CEO,Zia Hyder Naqi
Rashid Jahangir (Acting),CEO,Rashid Jahangir (Acting)
Syed Muhammad Daniyal,CEO,Syed Muhammad Daniyal
Ghazanfar Hussain Mirza,CEO,Ghazanfar Hussain Mirza
Faisal Hussain,CEO,Faisal Hussain
Muhammad Adil Ali,CEO,Muhammad Adil Ali
Salim Ullah Ghauri,CEO,Salim Ullah Ghauri
Shabbir Diwan,CEO,Shabbir Diwan
Fahd Kamal Chinoy,CEO,Fahd Kamal Chinoy
Khursheed Anwer Jamal,CEO,Khursheed Anwer Jamal
Syed Sheharyar Ali,CEO,Syed Sheharyar Ali
Muhammad Imran Malik,CEO,Muhammad Imran Malik
Mahmood Akhtar,CEO,Mahmood Akhtar
Zain Shahzad,CEO,Zain Shahzad
Imran Qureshi,CEO,Imran Qureshi
Aftab Ahmad,CEO,Aftab Ahmad
Ali Alam Qamar,CEO,Ali Alam Qamar
Mohammad Baig,CEO,Mohammad Baig
Masroor Ahmad Khan,CEO,Masroor Ahmad Khan
Anwaar Ahmad Khan,CEO,Anwaar Ahmad Khan
Shaheen Amin,CEO,Shaheen Amin
Farrukh Ifzal,CEO,Farrukh Ifzal
Shahzad Ahmed,CEO,Shahzad Ahmed
Ali H. Shirazi,CEO,Ali H. Shirazi
Tanveer Karamat,CEO,Tanveer Karamat
Hassan Tahir,CEO,Hassan Tahir
Ahsan M. Saleem,CEO,Ahsan M. Saleem
Anwar Moin,CEO,Anwar Moin
Rehman Naseem,CEO,Rehman Naseem
Shayan Akberali,CEO,Shayan Akberali
Shahid Ali Habib,CEO,Shahid Ali Habib
